method,n,d,c_ratio,tightness,seed,outcome,build_ms,solve_ms,total_ms,verified
CP-SAT,30,6,2.0,0.25,42,full_solve,0.564,2.214,2.834,True
GAC + expl repair,30,6,2.0,0.25,42,local_repair,0.96,0.656,1.828,True
CP-SAT,30,6,2.0,0.25,43,full_solve,0.411,1.099,1.552,True
GAC + expl repair,30,6,2.0,0.25,43,local_repair,0.876,1.198,2.254,True
CP-SAT,30,6,2.0,0.25,44,full_solve,0.41,0.865,1.315,True
GAC + expl repair,30,6,2.0,0.25,44,direct,1.036,0.0,1.242,True
CP-SAT,30,6,2.0,0.25,45,full_solve,0.432,0.846,1.321,True
GAC + expl repair,30,6,2.0,0.25,45,direct,0.833,0.0,0.98,True
CP-SAT,30,6,2.0,0.25,46,full_solve,0.391,1.942,2.373,True
GAC + expl repair,30,6,2.0,0.25,46,local_repair,1.122,1.568,2.785,True
CP-SAT,30,6,2.0,0.25,47,full_solve,0.389,1.294,1.722,True
GAC + expl repair,30,6,2.0,0.25,47,local_repair,1.044,1.064,2.203,True
CP-SAT,30,6,2.0,0.25,48,full_solve,0.383,0.801,1.223,True
GAC + expl repair,30,6,2.0,0.25,48,local_repair,0.801,0.941,1.838,True
CP-SAT,30,6,2.0,0.25,49,full_solve,0.41,1.533,1.984,True
GAC + expl repair,30,6,2.0,0.25,49,local_repair,1.137,1.282,2.52,True
CP-SAT,30,6,2.0,0.25,50,full_solve,0.402,0.775,1.242,True
GAC + expl repair,30,6,2.0,0.25,50,local_repair,0.905,0.656,1.655,True
CP-SAT,30,6,2.0,0.25,51,full_solve,0.424,1.187,1.65,True
GAC + expl repair,30,6,2.0,0.25,51,local_repair,1.346,0.635,2.073,True
CP-SAT,30,6,2.0,0.25,52,full_solve,0.492,1.619,2.156,True
GAC + expl repair,30,6,2.0,0.25,52,local_repair,1.118,1.057,2.275,True
CP-SAT,30,6,2.0,0.25,53,full_solve,0.385,1.236,1.668,True
GAC + expl repair,30,6,2.0,0.25,53,local_repair,0.94,0.915,1.943,True
CP-SAT,30,6,2.0,0.25,54,full_solve,0.386,0.713,1.138,True
GAC + expl repair,30,6,2.0,0.25,54,local_repair,0.917,0.566,1.575,True
CP-SAT,30,6,2.0,0.25,55,full_solve,0.385,0.805,1.229,True
GAC + expl repair,30,6,2.0,0.25,55,direct,0.862,0.0,0.95,True
CP-SAT,30,6,2.0,0.25,56,full_solve,0.415,2.5,2.984,True
GAC + expl repair,30,6,2.0,0.25,56,local_repair,1.009,3.396,4.503,True
CP-SAT,30,6,2.0,0.25,57,full_solve,0.413,0.786,1.239,True
GAC + expl repair,30,6,2.0,0.25,57,local_repair,1.008,0.555,1.655,True
CP-SAT,30,6,2.0,0.25,58,full_solve,0.402,0.971,1.412,True
GAC + expl repair,30,6,2.0,0.25,58,local_repair,1.034,0.824,1.952,True
CP-SAT,30,6,2.0,0.25,59,full_solve,0.558,1.072,1.676,True
GAC + expl repair,30,6,2.0,0.25,59,local_repair,0.867,0.635,1.619,True
CP-SAT,30,6,2.0,0.25,60,full_solve,0.389,1.222,1.652,True
GAC + expl repair,30,6,2.0,0.25,60,direct,0.859,0.0,0.965,True
CP-SAT,30,6,2.0,0.25,61,full_solve,0.435,1.074,1.549,True
GAC + expl repair,30,6,2.0,0.25,61,local_repair,1.012,0.925,2.023,True
CP-SAT,100,6,2.0,0.25,42,full_solve,1.085,3.044,4.221,True
GAC + expl repair,100,6,2.0,0.25,42,local_repair,2.6,4.471,7.467,True
CP-SAT,100,6,2.0,0.25,43,full_solve,1.076,3.838,5.057,True
GAC + expl repair,100,6,2.0,0.25,43,local_repair,2.573,2.214,5.15,True
CP-SAT,100,6,2.0,0.25,44,full_solve,1.068,3.311,4.486,True
GAC + expl repair,100,6,2.0,0.25,44,local_repair,2.92,2.128,5.427,True
CP-SAT,100,6,2.0,0.25,45,full_solve,1.054,2.594,3.74,True
GAC + expl repair,100,6,2.0,0.25,45,local_repair,2.41,2.17,4.943,True
CP-SAT,100,6,2.0,0.25,46,full_solve,1.01,3.983,5.125,True
GAC + expl repair,100,6,2.0,0.25,46,local_repair,2.885,1.482,4.76,True
CP-SAT,100,6,2.0,0.25,47,full_solve,1.042,2.961,4.101,True
GAC + expl repair,100,6,2.0,0.25,47,local_repair,2.55,2.689,5.59,True
CP-SAT,100,6,2.0,0.25,48,full_solve,1.064,3.208,4.363,True
GAC + expl repair,100,6,2.0,0.25,48,local_repair,2.973,1.55,4.863,True
CP-SAT,100,6,2.0,0.25,49,full_solve,1.099,2.511,3.707,True
GAC + expl repair,100,6,2.0,0.25,49,local_repair,2.646,1.358,4.377,True
CP-SAT,100,6,2.0,0.25,50,full_solve,1.064,3.137,4.299,True
GAC + expl repair,100,6,2.0,0.25,50,local_repair,2.721,2.043,5.144,True
CP-SAT,100,6,2.0,0.25,51,full_solve,1.029,1.628,2.748,True
GAC + expl repair,100,6,2.0,0.25,51,local_repair,2.482,1.404,11.372,True
CP-SAT,100,6,2.0,0.25,52,full_solve,1.089,2.598,3.786,True
GAC + expl repair,100,6,2.0,0.25,52,local_repair,2.687,1.346,4.379,True
CP-SAT,100,6,2.0,0.25,53,full_solve,1.069,4.274,5.443,True
GAC + expl repair,100,6,2.0,0.25,53,local_repair,2.605,3.158,6.138,True
CP-SAT,100,6,2.0,0.25,54,full_solve,1.065,2.475,3.637,True
GAC + expl repair,100,6,2.0,0.25,54,local_repair,2.481,1.302,4.277,True
CP-SAT,100,6,2.0,0.25,55,full_solve,1.026,3.909,5.023,True
GAC + expl repair,100,6,2.0,0.25,55,local_repair,2.765,2.728,5.84,True
CP-SAT,100,6,2.0,0.25,56,full_solve,1.087,3.717,4.897,True
GAC + expl repair,100,6,2.0,0.25,56,local_repair,3.193,1.869,5.4,True
CP-SAT,100,6,2.0,0.25,57,full_solve,1.044,2.745,3.888,True
GAC + expl repair,100,6,2.0,0.25,57,local_repair,2.5,1.366,4.212,True
CP-SAT,100,6,2.0,0.25,58,full_solve,0.985,2.397,3.467,True
GAC + expl repair,100,6,2.0,0.25,58,local_repair,2.662,1.041,4.048,True
CP-SAT,100,6,2.0,0.25,59,full_solve,1.082,2.446,3.624,True
GAC + expl repair,100,6,2.0,0.25,59,local_repair,2.637,1.862,4.849,True
CP-SAT,100,6,2.0,0.25,60,full_solve,1.021,3.891,5.019,True
GAC + expl repair,100,6,2.0,0.25,60,local_repair,2.994,2.021,5.398,True
